title,rank,director,year,url,img
WHAT TIME IS IT THERE?,523,TSAI MING-LIANG,2001,http://mubi.com/cast/tsai-ming-liang,https://assets.mubi.com/images/film/135/image-w384.jpg?1546527616
MISHIMA: A LIFE IN FOUR CHAPTERS,524,PAUL SCHRADER,1985,http://mubi.com/cast/paul-schrader,https://assets.mubi.com/images/film/588/image-w384.jpg?1546729212
GERMANY YEAR ZERO,525,ROBERTO ROSSELLINI,1948,http://mubi.com/cast/roberto-rossellini,https://assets.mubi.com/images/film/297/image-w384.jpg?1546527612
DAMNATION,526,BÉLA TARR,1988,http://mubi.com/cast/bela-tarr,https://assets.mubi.com/images/film/512/image-w384.jpg?1546531209
SHAME,527,INGMAR BERGMAN,1968,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/3555/image-w384.jpg?1561017617
Z,528,COSTA-GAVRAS,1969,http://mubi.com/cast/costa-gavras,https://assets.mubi.com/images/film/1400/image-w384.jpg?1494322695
THE SHOP AROUND THE CORNER,529,ERNST LUBITSCH,1940,http://mubi.com/cast/ernst-lubitsch,https://assets.mubi.com/images/film/2640/image-w384.jpg?1546527660
LOVE EXPOSURE,530,SION SONO,2008,http://mubi.com/cast/sion-sono,https://assets.mubi.com/images/film/2480/image-w384.jpg?1498805982
THE DEATH OF MR. LĂZĂRESCU,531,CRISTI PUIU,2005,http://mubi.com/cast/cristi-puiu,https://assets.mubi.com/images/film/1346/image-w384.jpg?1558080022
THE DEVILS,532,KEN RUSSELL,1971,http://mubi.com/cast/ken-russell,https://assets.mubi.com/images/film/22726/image-w384.jpg?1546531249
ZERO FOR CONDUCT,533,JEAN VIGO,1933,http://mubi.com/cast/jean-vigo,https://assets.mubi.com/images/film/3588/image-w384.jpg?1546531213
MR. SMITH GOES TO WASHINGTON,534,FRANK CAPRA,1939,http://mubi.com/cast/frank-capra,https://assets.mubi.com/images/film/9531/image-w384.jpg?1546729227
ACCATTONE,535,PIER PAOLO PASOLINI,1961,http://mubi.com/cast/pier-paolo-pasolini,https://assets.mubi.com/images/film/2034/image-w384.jpg?1548003782
MY MAN GODFREY,536,GREGORY LA CAVA,1936,http://mubi.com/cast/gregory-la-cava,https://assets.mubi.com/images/film/653/image-w384.jpg?1546531210
THE SON,537,JEAN-PIERRE DARDENNE,2002,http://mubi.com/cast/jean-pierre-dardenne,https://assets.mubi.com/images/film/1329/image-w384.jpg?1546531216
LETTER FROM AN UNKNOWN WOMAN,538,MAX OPHÜLS,1948,http://mubi.com/cast/max-ophuls,https://assets.mubi.com/images/film/1508/image-w384.jpg?1544004008
THE WRONG TROUSERS,539,NICK PARK,1993,http://mubi.com/cast/nick-park,https://assets.mubi.com/images/film/22550/image-w384.jpg?1546732825
ETERNITY AND A DAY,540,THEODOROS ANGELOPOULOS,1998,http://mubi.com/cast/theodoros-angelopoulos,https://assets.mubi.com/images/film/1504/image-w384.jpg?1546531210
THE TESTAMENT OF DR. MABUSE,541,FRITZ LANG,1933,http://mubi.com/cast/fritz-lang,https://assets.mubi.com/images/film/721/image-w384.jpg?1553965263
TAMPOPO,542,JÛZÔ ITAMI,1985,http://mubi.com/cast/juzo-itami,https://assets.mubi.com/images/film/2467/image-w384.jpg?1560163368
LE QUATTRO VOLTE,543,MICHELANGELO FRAMMARTINO,2010,http://mubi.com/cast/michelangelo-frammartino,https://assets.mubi.com/images/film/27557/image-w384.jpg?1558024783
THE SALT OF THE EARTH,544,WIM WENDERS,2014,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/114092/image-w384.jpg?1541189137
PUNISHMENT PARK,545,PETER WATKINS,1971,http://mubi.com/cast/peter-watkins,https://assets.mubi.com/images/film/1427/image-w384.jpg?1552386509
WHITE HEAT,546,RAOUL WALSH,1949,http://mubi.com/cast/raoul-walsh,https://assets.mubi.com/images/film/11483/image-w384.jpg?1523785506
FLOATING WEEDS,547,YASUJIRÔ OZU,1959,http://mubi.com/cast/yasujiro-ozu,https://assets.mubi.com/images/film/349/image-w384.jpg?1552472905
LITTLE DIETER NEEDS TO FLY,548,WERNER HERZOG,1997,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/2298/image-w384.jpg?1546531239
JUNUN,549,PAUL THOMAS ANDERSON,2015,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/131840/image-w384.jpg?1445968510
THE WILD BOYS,550,BERTRAND MANDICO,2017,http://mubi.com/cast/bertrand-mandico,https://assets.mubi.com/images/film/162878/image-w384.jpg?1546534846
FACE TO FACE,551,INGMAR BERGMAN,1976,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/6562/image-w384.jpg?1553016137
CROOKLYN,552,SPIKE LEE,1994,http://mubi.com/cast/spike-lee,https://assets.mubi.com/images/film/5596/image-w384.jpg?1556812803
JEAN-MICHEL BASQUIAT: THE RADIANT CHILD,553,TAMRA DAVIS,2010,http://mubi.com/cast/tamra-davis,https://assets.mubi.com/images/film/21778/image-w384.jpg?1548709233
PEACE,554,KAZUHIRO SODA,2010,http://mubi.com/cast/kazuhiro-soda,https://assets.mubi.com/images/film/34659/image-w384.jpg?1557302422
AMERICAN BEAUTY,555,SAM MENDES,1999,http://mubi.com/cast/sam-mendes,https://assets.mubi.com/images/film/1672/image-w384.jpg?1546556410
REQUIEM FOR A DREAM,556,DARREN ARONOFSKY,2000,http://mubi.com/cast/darren-aronofsky,https://assets.mubi.com/images/film/143/image-w384.jpg?1544094147
INCEPTION,557,CHRISTOPHER NOLAN,2010,http://mubi.com/cast/christopher-nolan,https://assets.mubi.com/images/film/26320/image-w384.jpg?1546556409
THE LORD OF THE RINGS: THE TWO TOWERS,558,PETER JACKSON,2002,http://mubi.com/cast/peter-jackson,https://assets.mubi.com/images/film/2110/image-w384.jpg?1546470012
ADAPTATION.,559,SPIKE JONZE,2002,http://mubi.com/cast/spike-jonze,https://assets.mubi.com/images/film/327/image-w384.jpg?1546560027
GROUNDHOG DAY,560,HAROLD RAMIS,1993,http://mubi.com/cast/harold-ramis,https://assets.mubi.com/images/film/2202/image-w384.jpg?1546556409
12 MONKEYS,561,TERRY GILLIAM,1995,http://mubi.com/cast/terry-gilliam,https://assets.mubi.com/images/film/2373/image-w384.jpg?1546556431
ALIENS,562,JAMES CAMERON,1986,http://mubi.com/cast/james-cameron,https://assets.mubi.com/images/film/703/image-w384.jpg?1546560027
THE NIGHTMARE BEFORE CHRISTMAS,563,HENRY SELICK,1993,http://mubi.com/cast/henry-selick,https://assets.mubi.com/images/film/3332/image-w384.jpg?1546563643
THE USUAL SUSPECTS,564,BRYAN SINGER,1995,http://mubi.com/cast/bryan-singer,https://assets.mubi.com/images/film/3434/image-w384.jpg?1546563618
SHAUN OF THE DEAD,565,EDGAR WRIGHT,2004,http://mubi.com/cast/edgar-wright,https://assets.mubi.com/images/film/2458/image-w384.jpg?1546563648
MELANCHOLIA,566,LARS VON TRIER,2011,http://mubi.com/cast/lars-von-trier,https://assets.mubi.com/images/film/38810/image-w384.jpg?1548378043
MOON,567,DUNCAN JONES,2009,http://mubi.com/cast/duncan-jones,https://assets.mubi.com/images/film/2494/image-w384.jpg?1535030008
MOONRISE KINGDOM,568,WES ANDERSON,2012,http://mubi.com/cast/wes-anderson,https://assets.mubi.com/images/film/93689/image-w384.jpg?1558567519
TERMINATOR 2: JUDGMENT DAY,569,JAMES CAMERON,1991,http://mubi.com/cast/james-cameron,https://assets.mubi.com/images/film/3440/image-w384.jpg?1546563612
THE TREE OF LIFE,570,TERRENCE MALICK,2011,http://mubi.com/cast/terrence-malick,https://assets.mubi.com/images/film/36141/image-w384.jpg?1524924306
CASINO,571,MARTIN SCORSESE,1995,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/871/image-w384.jpg?1546563617
L.A. CONFIDENTIAL,572,CURTIS HANSON,1997,http://mubi.com/cast/curtis-hanson,https://assets.mubi.com/images/film/2340/image-w384.jpg?1544094101
THE GRAND BUDAPEST HOTEL,573,WES ANDERSON,2014,http://mubi.com/cast/wes-anderson,https://assets.mubi.com/images/film/111139/image-w384.jpg?1546563621
FUNNY GAMES,574,MICHAEL HANEKE,1997,http://mubi.com/cast/michael-haneke,https://assets.mubi.com/images/film/250/image-w384.jpg?1560835854
2046,575,WONG KAR-WAI,2004,http://mubi.com/cast/wong-kar-wai,https://assets.mubi.com/images/film/90/image-w384.jpg?1541780020
THE ASSASSINATION OF JESSE JAMES BY THE COWARD ROBERT FORD,576,ANDREW DOMINIK,2007,http://mubi.com/cast/andrew-dominik,https://assets.mubi.com/images/film/2317/image-w384.jpg?1546563612
LIFE IS BEAUTIFUL,577,ROBERTO BENIGNI,1997,http://mubi.com/cast/roberto-benigni,https://assets.mubi.com/images/film/11635/image-w384.jpg?1546563642
REBEL WITHOUT A CAUSE,578,NICHOLAS RAY,1955,http://mubi.com/cast/nicholas-ray,https://assets.mubi.com/images/film/965/image-w384.jpg?1546563620
THE MASTER,579,PAUL THOMAS ANDERSON,2012,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/97752/image-w384.jpg?1548711573
MEAN STREETS,580,MARTIN SCORSESE,1973,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/1686/image-w384.jpg?1559921875
EXIT THROUGH THE GIFT SHOP,581,BANKSY,2010,http://mubi.com/cast/banksy,https://assets.mubi.com/images/film/23964/image-w384.jpg?1556352075
DAWN OF THE DEAD,582,GEORGE A. ROMERO,1978,http://mubi.com/cast/george-a-romero,https://assets.mubi.com/images/film/1316/image-w384.jpg?1546563641
THIS IS ENGLAND,583,SHANE MEADOWS,2006,http://mubi.com/cast/shane-meadows,https://assets.mubi.com/images/film/403/image-w384.jpg?1530511119
ALICE IN WONDERLAND,584,CLYDE GERONIMI,1951,http://mubi.com/cast/clyde-geronimi,https://assets.mubi.com/images/film/3103/image-w384.jpg?1546913364
MILLER'S CROSSING,585,JOEL COEN,1990,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/1728/image-w384.jpg?1546563613
ALPHAVILLE,586,JEAN-LUC GODARD,1965,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/207/image-w384.jpg?1552483175
BLOOD SIMPLE,587,JOEL COEN,1984,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/838/image-w384.jpg?1545162456
HAPPINESS,588,TODD SOLONDZ,1998,http://mubi.com/cast/todd-solondz,https://assets.mubi.com/images/film/1676/image-w384.jpg?1546563648
EVIL DEAD II,589,SAM RAIMI,1987,http://mubi.com/cast/sam-raimi,https://assets.mubi.com/images/film/1577/image-w384.jpg?1547808668
NIGHT ON EARTH,590,JIM JARMUSCH,1991,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/227/image-w384.jpg?1553657245
EL TOPO,591,ALEJANDRO JODOROWSKY,1970,http://mubi.com/cast/alejandro-jodorowsky,https://assets.mubi.com/images/film/270/image-w384.jpg?1523450694
BEFORE MIDNIGHT,592,RICHARD LINKLATER,2013,http://mubi.com/cast/richard-linklater,https://assets.mubi.com/images/film/100074/image-w384.jpg?1542700832
THE FALL,593,TARSEM SINGH,2006,http://mubi.com/cast/tarsem-singh,https://assets.mubi.com/images/film/8696/image-w384.jpg?1547013637
SHORT CUTS,594,ROBERT ALTMAN,1993,http://mubi.com/cast/robert-altman,https://assets.mubi.com/images/film/376/image-w384.jpg?1546563608
KIKI'S DELIVERY SERVICE,595,HAYAO MIYAZAKI,1989,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/935/image-w384.jpg?1546567255
CHARADE,596,STANLEY DONEN,1963,http://mubi.com/cast/stanley-donen,https://assets.mubi.com/images/film/603/image-w384.jpg?1529585079
THE GREAT BEAUTY,597,PAOLO SORRENTINO,2013,http://mubi.com/cast/paolo-sorrentino,https://assets.mubi.com/images/film/104592/image-w384.jpg?1533516398
DIAL M FOR MURDER,598,ALFRED HITCHCOCK,1954,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/2681/image-w384.jpg?1546567261
THE STRAIGHT STORY,599,DAVID LYNCH,1999,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/1408/image-w384.jpg?1546567254
DEAD RINGERS,600,DAVID CRONENBERG,1988,http://mubi.com/cast/david-cronenberg,https://assets.mubi.com/images/film/541/image-w384.jpg?1546567263
AFTER HOURS,601,MARTIN SCORSESE,1985,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/1771/image-w384.jpg?1546567261
MOONLIGHT,602,BARRY JENKINS,2016,http://mubi.com/cast/barry-jenkins,https://assets.mubi.com/images/film/152823/image-w384.jpg?1546567263
A FISTFUL OF DOLLARS,603,SERGIO LEONE,1964,http://mubi.com/cast/sergio-leone,https://assets.mubi.com/images/film/6365/image-w384.jpg?1546567254
STRAW DOGS,604,SAM PECKINPAH,1971,http://mubi.com/cast/sam-peckinpah,https://assets.mubi.com/images/film/730/image-w384.jpg?1546740114
UNCLE BOONMEE WHO CAN RECALL HIS PAST LIVES,605,APICHATPONG WEERASETHAKUL,2010,http://mubi.com/cast/apichatpong-weerasethakul,https://assets.mubi.com/images/film/26246/image-w384.jpg?1546013633
WOMEN ON THE VERGE OF A NERVOUS BREAKDOWN,606,PEDRO ALMODÓVAR,1988,http://mubi.com/cast/pedro-almodovar,https://assets.mubi.com/images/film/410/image-w384.jpg?1560767200
ZELIG,607,WOODY ALLEN,1983,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/2169/image-w384.jpg?1494322675
DON'T LOOK NOW,608,NICOLAS ROEG,1973,http://mubi.com/cast/nicolas-roeg,https://assets.mubi.com/images/film/2315/image-w384.jpg?1534735856
WEEKEND,609,JEAN-LUC GODARD,1967,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/1407/image-w384.jpg?1546567254
THE 39 STEPS,610,ALFRED HITCHCOCK,1935,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/234/image-w384.jpg?1546567262
THE FRENCH CONNECTION,611,WILLIAM FRIEDKIN,1971,http://mubi.com/cast/william-friedkin,https://assets.mubi.com/images/film/20183/image-w384.jpg?1546567255
MYSTERY TRAIN,612,JIM JARMUSCH,1989,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/2057/image-w384.jpg?1543399216
ALL THE PRESIDENT'S MEN,613,ALAN J. PAKULA,1976,http://mubi.com/cast/alan-j-pakula,https://assets.mubi.com/images/film/1990/image-w384.jpg?1546567262
MAN BITES DOG,614,RÉMY BELVAUX,1992,http://mubi.com/cast/remy-belvaux,https://assets.mubi.com/images/film/718/image-w384.jpg?1535029935
CALL ME BY YOUR NAME,615,LUCA GUADAGNINO,2017,http://mubi.com/cast/luca-guadagnino,https://assets.mubi.com/images/film/154692/image-w384.jpg?1546668059
KNIFE IN THE WATER,616,ROMAN POLANSKI,1962,http://mubi.com/cast/roman-polanski,https://assets.mubi.com/images/film/219/image-w384.jpg?1546572651
GLENGARRY GLEN ROSS,617,JAMES FOLEY,1992,http://mubi.com/cast/james-foley,https://assets.mubi.com/images/film/384/image-w384.jpg?1546572651
ROMAN HOLIDAY,618,WILLIAM WYLER,1953,http://mubi.com/cast/william-wyler,https://assets.mubi.com/images/film/9052/image-w384.jpg?1546668045
THE INTOUCHABLES,619,ERIC TOLEDANO,2011,http://mubi.com/cast/eric-toledano,https://assets.mubi.com/images/film/89573/image-w384.jpg?1546668033
THE IRON GIANT,620,BRAD BIRD,1999,http://mubi.com/cast/brad-bird,https://assets.mubi.com/images/film/18201/image-w384.jpg?1546668010
EUROPA,621,LARS VON TRIER,1991,http://mubi.com/cast/lars-von-trier,https://assets.mubi.com/images/film/768/image-w384.jpg?1532048411
NOSFERATU THE VAMPYRE,622,WERNER HERZOG,1979,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/3751/image-w384.jpg?1559228534
HOUSE,623,NOBUHIKO ÔBAYASHI,1977,http://mubi.com/cast/nobuhiko-obayashi,https://assets.mubi.com/images/film/21467/image-w384.jpg?1546668012
THE LADY VANISHES,624,ALFRED HITCHCOCK,1938,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/358/image-w384.jpg?1560965784
SHOOT THE PIANO PLAYER,625,FRANÇOIS TRUFFAUT,1960,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/764/image-w384.jpg?1543371296
THE LADY FROM SHANGHAI,626,ORSON WELLES,1947,http://mubi.com/cast/orson-welles,https://assets.mubi.com/images/film/2552/image-w384.jpg?1546668044
BLOW OUT,627,BRIAN DE PALMA,1981,http://mubi.com/cast/brian-de-palma,https://assets.mubi.com/images/film/27590/image-w384.jpg?1546668033
LILYA 4-EVER,628,LUKAS MOODYSSON,2002,http://mubi.com/cast/lukas-moodysson,https://assets.mubi.com/images/film/1129/image-w384.jpg?1546668009
"BLACK CAT, WHITE CAT",629,EMIR KUSTURICA,1998,http://mubi.com/cast/emir-kusturica,https://assets.mubi.com/images/film/2832/image-w384.jpg?1546689641
DEEP RED,630,DARIO ARGENTO,1975,http://mubi.com/cast/dario-argento,https://assets.mubi.com/images/film/20399/image-w384.jpg?1546689615
PHANTOM THREAD,631,PAUL THOMAS ANDERSON,2017,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/157754/image-w384.jpg?1557982194
FIVE EASY PIECES,632,BOB RAFELSON,1970,http://mubi.com/cast/bob-rafelson,https://assets.mubi.com/images/film/20178/image-w384.jpg?1546689615
PORCO ROSSO,633,HAYAO MIYAZAKI,1992,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/4635/image-w384.jpg?1546747250
ANOTHER YEAR,634,MIKE LEIGH,2010,http://mubi.com/cast/mike-leigh,https://assets.mubi.com/images/film/26240/image-w384.jpg?1546689617
THE VANISHING,635,GEORGE SLUIZER,1988,http://mubi.com/cast/george-sluizer,https://assets.mubi.com/images/film/677/image-w384.jpg?1546689609
THE GREAT ESCAPE,636,JOHN STURGES,1963,http://mubi.com/cast/john-sturges,https://assets.mubi.com/images/film/3472/image-w384.jpg?1546689614
STOLEN KISSES,637,FRANÇOIS TRUFFAUT,1968,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/732/image-w384.jpg?1546689638
CLAIRE'S KNEE,638,ÉRIC ROHMER,1970,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/793/image-w384.jpg?1546689614
EAST OF EDEN,639,ELIA KAZAN,1955,http://mubi.com/cast/elia-kazan,https://assets.mubi.com/images/film/1937/image-w384.jpg?1546689609
BRIDE OF FRANKENSTEIN,640,JAMES WHALE,1935,http://mubi.com/cast/james-whale,https://assets.mubi.com/images/film/864/image-w384.jpg?1546689608
ROMA,641,ALFONSO CUARÓN,2018,http://mubi.com/cast/alfonso-cuaron,https://assets.mubi.com/images/film/164455/image-w384.jpg?1544846443
LAURA,642,OTTO PREMINGER,1944,http://mubi.com/cast/otto-preminger,https://assets.mubi.com/images/film/3301/image-w384.jpg?1445920773
RUMBLE FISH,643,FRANCIS FORD COPPOLA,1983,http://mubi.com/cast/francis-ford-coppola,https://assets.mubi.com/images/film/9082/image-w384.jpg?1546693211
SCARFACE,644,HOWARD HAWKS,1932,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/429/image-w384.jpg?1546693250
VALERIE AND HER WEEK OF WONDERS,645,JAROMIL JIREŠ,1970,http://mubi.com/cast/jaromil-jires,https://assets.mubi.com/images/film/3045/image-w384.jpg?1546693211
LOVE IN THE AFTERNOON,646,ÉRIC ROHMER,1972,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/794/image-w384.jpg?1546693250
THE PHILADELPHIA STORY,647,GEORGE CUKOR,1940,http://mubi.com/cast/george-cukor,https://assets.mubi.com/images/film/10029/image-w384.jpg?1546693208
SONATINE,648,TAKESHI KITANO,1993,http://mubi.com/cast/takeshi-kitano,https://assets.mubi.com/images/film/1458/image-w384.jpg?1546693250
THE MAN WITHOUT A PAST,649,AKI KAURISMÄKI,2002,http://mubi.com/cast/aki-kaurismaki,https://assets.mubi.com/images/film/2601/image-w384.jpg?1546693250
ALICE,650,JAN ŠVANKMAJER,1988,http://mubi.com/cast/jan-svankmajer,https://assets.mubi.com/images/film/20909/image-w384.jpg?1491443482
THE AMERICAN FRIEND,651,WIM WENDERS,1977,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/19657/image-w384.jpg?1551279610
MURMUR OF THE HEART,652,LOUIS MALLE,1971,http://mubi.com/cast/louis-malle,https://assets.mubi.com/images/film/775/image-w384.jpg?1546696826
MY BEST FIEND,653,WERNER HERZOG,1999,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/2324/image-w384.jpg?1540450812
BRANDED TO KILL,654,SEIJUN SUZUKI,1967,http://mubi.com/cast/seijun-suzuki,https://assets.mubi.com/images/film/576/image-w384.jpg?1559737370
MY WINNIPEG,655,GUY MADDIN,2007,http://mubi.com/cast/guy-maddin,https://assets.mubi.com/images/film/89/image-w384.jpg?1543395614
I VITELLONI,656,FEDERICO FELLINI,1953,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/966/image-w384.jpg?1546696836
TWO-LANE BLACKTOP,657,MONTE HELLMAN,1971,http://mubi.com/cast/monte-hellman,https://assets.mubi.com/images/film/847/image-w384.jpg?1546700410
POETRY,658,LEE CHANG-DONG,2010,http://mubi.com/cast/lee-chang-dong,https://assets.mubi.com/images/film/26230/image-w384.jpg?1546700452
WRITTEN ON THE WIND,659,DOUGLAS SIRK,1956,http://mubi.com/cast/douglas-sirk,https://assets.mubi.com/images/film/636/image-w384.jpg?1546700411
THE LOST WEEKEND,660,BILLY WILDER,1945,http://mubi.com/cast/billy-wilder,https://assets.mubi.com/images/film/6013/image-w384.jpg?1546700409
BRING ME THE HEAD OF ALFREDO GARCIA,661,SAM PECKINPAH,1974,http://mubi.com/cast/sam-peckinpah,https://assets.mubi.com/images/film/2070/image-w384.jpg?1546700409
THE BLOOD OF A POET,662,JEAN COCTEAU,1932,http://mubi.com/cast/jean-cocteau,https://assets.mubi.com/images/film/609/image-w384.jpg?1553112060
THE COVE,663,LOUIE PSIHOYOS,2009,http://mubi.com/cast/louie-psihoyos,https://assets.mubi.com/images/film/2016/image-w384.jpg?1549440009
SILENT LIGHT,664,CARLOS REYGADAS,2007,http://mubi.com/cast/carlos-reygadas,https://assets.mubi.com/images/film/993/image-w384.jpg?1555570845
"LIKE FATHER, LIKE SON",665,HIROKAZU KORE-EDA,2013,http://mubi.com/cast/hirokazu-kore-eda,https://assets.mubi.com/images/film/104590/image-w384.jpg?1544306449
THE BLUE ANGEL,666,JOSEF VON STERNBERG,1930,http://mubi.com/cast/josef-von-sternberg,https://assets.mubi.com/images/film/2670/image-w384.jpg?1546700452
STRAY DOG,667,AKIRA KUROSAWA,1949,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/788/image-w384.jpg?1546700408
GIMME SHELTER,668,ALBERT MAYSLES,1970,http://mubi.com/cast/albert-maysles,https://assets.mubi.com/images/film/637/image-w384.jpg?1546729213
JIRO DREAMS OF SUSHI,669,DAVID GELB,2011,http://mubi.com/cast/david-gelb,https://assets.mubi.com/images/film/42952/image-w384.jpg?1529943429
REVANCHE,670,GÖTZ SPIELMANN,2008,http://mubi.com/cast/gotz-spielmann,https://assets.mubi.com/images/film/85/image-w384.jpg?1549904388
SMILES OF A SUMMER NIGHT,671,INGMAR BERGMAN,1955,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/849/image-w384.jpg?1557388803
NO DIRECTION HOME: BOB DYLAN,672,MARTIN SCORSESE,2005,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/2011/image-w384.jpg?1546729208
KIKUJIRO,673,TAKESHI KITANO,1999,http://mubi.com/cast/takeshi-kitano,https://assets.mubi.com/images/film/1024/image-w384.jpg?1557615631
DISTANT,674,NURI BILGE CEYLAN,2002,http://mubi.com/cast/nuri-bilge-ceylan,https://assets.mubi.com/images/film/386/image-w384.jpg?1546729211
THE LAST METRO,675,FRANÇOIS TRUFFAUT,1980,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/1084/image-w384.jpg?1554202667
A BLONDE IN LOVE,676,MILOŠ FORMAN,1965,http://mubi.com/cast/milos-forman,https://assets.mubi.com/images/film/246/image-w384.jpg?1546729208
VERA DRAKE,677,MIKE LEIGH,2004,http://mubi.com/cast/mike-leigh,https://assets.mubi.com/images/film/1982/image-w384.jpg?1558440487
TYRANNOSAUR,678,PADDY CONSIDINE,2011,http://mubi.com/cast/paddy-considine,https://assets.mubi.com/images/film/36668/image-w384.jpg?1548748802
THE YOUNG GIRLS OF ROCHEFORT,679,JACQUES DEMY,1967,http://mubi.com/cast/jacques-demy,https://assets.mubi.com/images/film/2651/image-w384.jpg?1546729211
THE FOG OF WAR,680,ERROL MORRIS,2003,http://mubi.com/cast/errol-morris,https://assets.mubi.com/images/film/2224/image-w384.jpg?1546729214
ASHES AND DIAMONDS,681,ANDRZEJ WAJDA,1958,http://mubi.com/cast/andrzej-wajda,https://assets.mubi.com/images/film/342/image-w384.jpg?1546729209
THE WIND WILL CARRY US,682,ABBAS KIAROSTAMI,1999,http://mubi.com/cast/abbas-kiarostami,https://assets.mubi.com/images/film/1388/image-w384.jpg?1546729249
SECONDS,683,JOHN FRANKENHEIMER,1966,http://mubi.com/cast/john-frankenheimer,https://assets.mubi.com/images/film/3704/image-w384.jpg?1546729244
LA CÉRÉMONIE,684,CLAUDE CHABROL,1995,http://mubi.com/cast/claude-chabrol,https://assets.mubi.com/images/film/3121/image-w384.jpg?1545562848
WITNESS FOR THE PROSECUTION,685,BILLY WILDER,1957,http://mubi.com/cast/billy-wilder,https://assets.mubi.com/images/film/11952/image-w384.jpg?1546729209
POINT BLANK,686,JOHN BOORMAN,1967,http://mubi.com/cast/john-boorman,https://assets.mubi.com/images/film/2442/image-w384.jpg?1546732824
HUSBANDS,687,JOHN CASSAVETES,1970,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/1383/image-w384.jpg?1546732830
STILL LIFE,688,JIA ZHANGKE,2006,http://mubi.com/cast/jia-zhangke,https://assets.mubi.com/images/film/120/image-w384.jpg?1544090518
PICKUP ON SOUTH STREET,689,SAMUEL FULLER,1953,http://mubi.com/cast/samuel-fuller,https://assets.mubi.com/images/film/446/image-w384.jpg?1546732823
THE HOLE,690,TSAI MING-LIANG,1998,http://mubi.com/cast/tsai-ming-liang,https://assets.mubi.com/images/film/1022/image-w384.jpg?1546732831
THE BEST YEARS OF OUR LIVES,691,WILLIAM WYLER,1946,http://mubi.com/cast/william-wyler,https://assets.mubi.com/images/film/2473/image-w384.jpg?1546732824
MILLENNIUM ACTRESS,692,SATOSHI KON,2001,http://mubi.com/cast/satoshi-kon,https://assets.mubi.com/images/film/22565/image-w384.jpg?1546732825
BIGGER THAN LIFE,693,NICHOLAS RAY,1956,http://mubi.com/cast/nicholas-ray,https://assets.mubi.com/images/film/1929/image-w384.jpg?1546732830
MOTHER AND SON,694,ALEKSANDR SOKUROV,1997,http://mubi.com/cast/aleksandr-sokurov,https://assets.mubi.com/images/film/1231/image-w384.jpg?1546732822
AT LAND,695,MAYA DEREN,1944,http://mubi.com/cast/maya-deren,https://assets.mubi.com/images/film/3674/image-w384.jpg?1481127839
LE DOULOS,696,JEAN-PIERRE MELVILLE,1962,http://mubi.com/cast/jean-pierre-melville,https://assets.mubi.com/images/film/759/image-w384.jpg?1550506545
VIVE L'AMOUR,697,TSAI MING-LIANG,1994,http://mubi.com/cast/tsai-ming-liang,https://assets.mubi.com/images/film/2333/image-w384.jpg?1505373010
