title,rank,rating,director,year,main_cast,url,img
Reservoir Dogs,79,8.3,Quentin Tarantino,1992,"Harvey Keitel, Tim Roth",/title/tt0105236/,"https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Star Wars: Episode VI - Return of the Jedi,80,8.3,Richard Marquand,1983,"Mark Hamill, Harrison Ford",/title/tt0086190/,"https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
M,81,8.3,Fritz Lang,1931,"Peter Lorre, Ellen Widmann",/title/tt0022100/,"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_UX45_CR0,0,45,67_AL_.jpg"
Amadeus,82,8.3,Milos Forman,1984,"F. Murray Abraham, Tom Hulce",/title/tt0086879/,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Requiem for a Dream,83,8.3,Darren Aronofsky,2000,"Ellen Burstyn, Jared Leto",/title/tt0180093/,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Dangal,84,8.3,Nitesh Tiwari,2016,"Aamir Khan, Sakshi Tanwar",/title/tt5074352/,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY67_CR1,0,45,67_AL_.jpg"
3 Idiots,85,8.3,Rajkumar Hirani,2009,"Aamir Khan, Madhavan",/title/tt1187043/,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR1,0,45,67_AL_.jpg"
Toy Story,86,8.3,John Lasseter,1995,"Tom Hanks, Tim Allen",/title/tt0114709/,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX45_CR0,0,45,67_AL_.jpg"
2001: A Space Odyssey,87,8.3,Stanley Kubrick,1968,"Keir Dullea, Gary Lockwood",/title/tt0062622/,"https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Taare Zameen Par,88,8.3,Aamir Khan,2007,"Darsheel Safary, Aamir Khan",/title/tt0986264/,"https://m.media-amazon.com/images/M/MV5BNTVmYTk2NjAtYzY3MS00YjFjLTlkYzktYzg3YzMyZDQyOWRiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
